#All are unchanged except code 0, which is not an error code. 
#Live data for error codes can be obtained here: https://login.microsoftonline.com/error
#this list is an enumeration of that web resource (i.e. brute forcing all values between 0 and 9000000)

Error Code|||||Message|||||Remediation
50034|||||The user account {identifier} does not exist in the {tenant} directory. To sign into this application, the account must be added to the directory.|||||The user that attempted to sign in doesn't exist in this tenant. This can occur because the user mis-typed their username, or isn't in the tenant. An application may have chosen the wrong tenant to sign into, and the currently logged in user was prevented from doing so since they did not exist in your tenant. If this user should be able to log in, add them as a guest. See docs here: https://docs.microsoft.com/azure/active-directory/b2b/add-users-administrator
50038|||||The API version isn't supported.|||||No Remediation Provided
50042|||||The salt required to generate a pairwise identifier is missing in the principal.|||||If this application has been recently registered, please wait for some time for the configuration to take effect, and then try again.
50043|||||Unable to generate a pairwise identifier with more than one salt in principal.|||||No Remediation Provided
50045|||||The salt required to generate a pairwise identifier is malformed in principal.|||||No Remediation Provided
50048|||||Subject must match the issuer claim in the client assertion.|||||Contact the developer to ensure that the JWT they generated for authentication has correct sub and iss claims. https://docs.microsoft.com/azure/active-directory/develop/active-directory-certificate-credentials
50049|||||Unknown or invalid instance.|||||Application error - the login request was malformed and could not be matched with an existing authentication endpoint or instance.
50050|||||The request is malformed: invalid format for '{name}' value.|||||Contact the application owner.
50052|||||The password entered exceeds the maximum length. Please reach out to your admin to reset the password.|||||The user is unable to login because their password exceeds the permitted maximum length. They should contact their admin to reset the password. If SSPR is enabled for their tenant, they can reset their password by following the "Forgot your password" link.
50053|||||The account is locked, you've tried to sign in too many times with an incorrect user ID or password.|||||This error can be returned for two reasons - the sign in could have come from a malicious IP address, or the account was locked due to repeated sign-in attempts. Only one error code is used to prevent an attacker from distinguishing between the states. In your Azure AD tenant, you can distinguish between these states by looking at the specific sign-in log entry for this request. For accounts locked for too many attempts, see https://docs.microsoft.com/azure/active-directory/identity-protection/howto-unblock-user
50054|||||Looks like you entered your old password. Try again with your new one.|||||The user needs to enter a new password, not one they previously used.
50055|||||The password is expired.|||||The user's password is expired, and therefore their login or session was ended. They will be offered the opportunity to reset it, or may ask an admin to reset it via https://docs.microsoft.com/azure/active-directory/fundamentals/active-directory-users-reset-password-azure-portal
50056|||||Invalid or missing password: password does not exist in the directory for this user.|||||The user should be asked to enter their password again.
50057|||||The user account is disabled.|||||The user object in Active Directory backing this account has been disabled. An admin can re-enable this account through Powershell: https://docs.microsoft.com/powershell/module/addsadministration/enable-adaccount?view=win10-ps
50058|||||Session information is not sufficient for single-sign-on.|||||This means that a user is not signed in. This is a common error that's expected when a user is unauthenticated and has not yet signed in. If this error is encountered in an SSO context where the user has previously signed in, this means that the SSO session was either not found or invalid. This error may be returned to the application if prompt=none is specified.
50059|||||No tenant-identifying information found in either the request or implied by any provided credentials.|||||No Remediation Provided
50060|||||Unable to sign out.|||||No Remediation Provided
50061|||||Unable to complete signout. The request was invalid.|||||No Remediation Provided
50062|||||Signout request is unauthorized.|||||No Remediation Provided
50068|||||Signout failed. The initiating application is not a participant in the current session.|||||No Remediation Provided
50069|||||Signout failed. The request specified a name identifier of '{identifier}' which did not match the existing session(s).|||||No Remediation Provided
50070|||||Signout failed. The request specified session indexes '{identifier}' which did not match the existing session(s).|||||No Remediation Provided
50071|||||Signout request has expired.|||||No Remediation Provided
50072|||||Due to a configuration change made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'.|||||The user was presented options to provide contact options so that they can do MFA.
50074|||||Strong Authentication is required.|||||User needs to perform multi-factor authentication. There could be multiple things requiring multi-factor, e.g. Conditional Access policies, per-user enforcement, requested by client, among others.
50076|||||Due to a configuration change made by your administrator, or because you moved to a new location, you must use multi-factor authentication to access '{resource}'.|||||User needs to perform multi-factor authentication. There could be multiple things requiring multi-factor, e.g. Conditional Access policies, per-user enforcement, requested by client, among others.
50077|||||The administrator created a conditional access policy that requires the authenticator to be used to provide GPS location.|||||No Remediation Provided
50078|||||Presented multi-factor authentication has expired due to policies configured by your administrator, you must refresh your multi-factor authentication to access '{resource}'.|||||No Remediation Provided
50079|||||Due to a configuration change made by your administrator, or because you moved to a new location, you must enroll in multi-factor authentication to access '{identifier}'.|||||Either a managed user needs to register security info to complete multi-factor authentication, or a federated user needs to get the multi-factor claim from the federated identity provider. There could be multiple things requiring multi-factor, e.g. Conditional Access policies, per-user enforcement, requested by client, among others.
50080|||||Bad request received.|||||No Remediation Provided
50081|||||The administrator created a conditional access policy that requires GPS location.|||||No Remediation Provided
50085|||||Refresh token needs a social identity provider login.|||||The user is being redirected to another IDP for reauthentication.
50087|||||A transient error has occurred during strong authentication. Please try again.|||||No Remediation Provided
50088|||||Limit on telecom MFA calls reached. Please try again in a few minutes.|||||No Remediation Provided
50089|||||Authentication failed due to flow token expired.|||||Expected - auth codes, refresh tokens, and sessions expire over time or are revoked by the user or an admin. The app will request a new login from the user.
50091|||||Passed query string length exceeds supported limit.|||||No Remediation Provided
50093|||||Missing value for the SAML NameID.|||||No Remediation Provided
50094|||||Unknown source configured on the audience for the SAML NameID.|||||No Remediation Provided
50095|||||Unknown source configured on the audience for the SAML email claim.|||||No Remediation Provided
50096|||||Source configured on the audience for the SAML NameID is not compatible with the requested format.|||||No Remediation Provided
50097|||||Device authentication is required.|||||This is not an error - this is an interrupt that triggers device authentication when required due to a Conditional Access policy or because the application or resource requested the device ID in a token. This code alone does not indicate a failure on your users part to sign in. The sign in logs may indicate that the device authentication challenge was passed succesfully or failed.
50098|||||JWT body must contain '{field}'.|||||No Remediation Provided
50099|||||Invalid nonce.|||||No Remediation Provided
50100|||||There was an error transforming the claims for the token.|||||No Remediation Provided
50101|||||Unknown claims transformer '{name}' was specified for principal '{principalId}'.|||||No Remediation Provided
50102|||||Unable to load CustomClaimsTransformer '{type}' was specified for principal '{principalId}'.|||||No Remediation Provided
50103|||||There was an error transforming the claims for the token: {errorMessage}|||||No Remediation Provided
50105|||||Your administrator has configured the application {appName} ('{appId}') to block users unless they are specifically granted ('assigned') access to the application.  The signed in user '{user}' is blocked because they are not a direct member of a group with access, nor had access directly assigned by an administrator. Please contact your administrator to assign access to this application.|||||Assign the user to the app. See https://docs.microsoft.com/azure/active-directory/manage-apps/methods-for-assigning-users-and-groups and https://docs.microsoft.com/azure/active-directory/manage-apps/application-sign-in-problem-federated-sso-gallery#user-not-assigned-a-role
50107|||||The requested federation realm object '{name}' does not exist.|||||Application error - the login request was malformed and could not be matched with an existing authentication endpoint or instance.
50108|||||Claims transformation configuration could not be retrieved.|||||No Remediation Provided
50109|||||Claim transformation is unknown from configuration.|||||No Remediation Provided
50111|||||Unknown claim transformation was asked to be applied.|||||No Remediation Provided
50117|||||Failed to deserialize policy specified in the request's claim parameter.|||||No Remediation Provided
50120|||||Unknown credential type, issue with the JWT header.|||||No Remediation Provided
50123|||||Unknown claims transformation method '{method}' was specified for principal '{principalId}'.|||||No Remediation Provided
50124|||||Invalid regular expression configured for claims transformation for this application.|||||Contact your tenant admin to fix the claims mapping configuration. See https://docs.microsoft.com/azure/active-directory/develop/active-directory-saml-claims-customization
50125|||||Sign-in was interrupted due to a password reset or password registration entry.|||||User authentication was blocked because they need to provide password reset information. Their next interactive sign in will ask them for this, which the app should trigger next.
50126|||||Error validating credentials due to invalid username or password.|||||The user didn't enter the right credentials.  It's expected to see some number of these errors in your logs due to users making mistakes.
50127|||||Client app is a MAM app and device is not registered.|||||The user needs to install the broker app and work place join using the broker app in order to register the device.
50128|||||No tenant-identifying information found in either the request or implied by any provided credentials.|||||No Remediation Provided
50129|||||The device is not workplace joined. Workplace join is required to register the device.|||||No Remediation Provided
50130|||||The claim value(s) '{value}' cannot be interpreted as known auth method(s).|||||No Remediation Provided
50131|||||Device is not in required device state: {state}. Or, the request was blocked due to suspicious activity, access policy, or security policy decisions.|||||No Remediation Provided
50132|||||The session is not valid due the following reasons: password expiration or recent password change, SSO Artifact is invalid or expired, session is not fresh enough for application, or a silent sign-in request was sent but the user's session with Azure AD is invalid or has expired.|||||Expected - auth codes, refresh tokens, and sessions expire over time or are revoked by the user or an admin. The app will request a new login from the user.
50133|||||The session is not valid due to password expiration or recent password change.|||||Expected - auth codes, refresh tokens, and sessions expire over time or are revoked by the user or an admin. The app will request a new login from the user.
50134|||||Wrong data center. To authorize a request that was initiated by an app in the OAuth 2.0 device flow, the authorizing party must be in the same data center where the original request resides.|||||No Remediation Provided
50135|||||Password change is required due to account risk.|||||No Remediation Provided
50136|||||Single MSA session detected when requesting an MSA ticket.|||||No Remediation Provided
50137|||||Password needs to be changed due to security policy rule.|||||No Remediation Provided
50138|||||Invalid encryption key environment.|||||No Remediation Provided
50139|||||Session is invalid due to missing an external refresh token.|||||No Remediation Provided
50140|||||This occurred due to 'Keep me signed in' interrupt when the user was signing in.|||||This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see https://techcommunity.microsoft.com/t5/Azure-Active-Directory/The-new-Azure-AD-sign-in-and-Keep-me-signed-in-experiences/td-p/128267
50141|||||Protected key is not intended for the authenticated user.|||||No Remediation Provided
50142|||||Password change is required due to a conditional access policy.|||||No Remediation Provided
50143|||||Session mismatch. The session is invalid because user tenant does not match the domain hint.|||||The app attempted to sign in a user to the wrong tenant. They need to correctly track the tenant that they have signed the user into.
50144|||||The user's Active Directory password has expired.|||||Generate a new password for the user or have the user use the self-service reset tool to reset their password.
50146|||||This application is required to be configured with an application-specific signing key. It is either not configured with one, or the key has expired or is not yet valid.|||||Please contact the owner of the application.
50147|||||Invalid size of the code challenge parameter.|||||Contact the application owner to correct their use of the PKCE parameters.
50148|||||The code_verifier does not match the code_challenge supplied in the authorization request for PKCE.|||||Contact the application owner to correct their use of the PKCE parameters.
50149|||||Invalid Code_Challenge_method parameter.|||||No Remediation Provided
50150|||||The provided credentials does not have a valid user consent approval information.|||||No Remediation Provided
50155|||||Device authentication failed.|||||No Remediation Provided
50156|||||Device tokens are not supported for V2 resource.|||||No Remediation Provided
50157|||||User redirection required for routing.|||||No Remediation Provided
50158|||||External security challenge not satisfied. User will be redirected to another page or authentication provider to satisfy additional authentication challenges.|||||The user is required to satisfy additional requirements before finishing authentication, and was redirected to another page (such as terms of use or a third party MFA provider). This code alone does not indicate a failure on your users part to sign in. The sign in logs may indicate that this challenge was succesfully passed or failed.
50159|||||Claims sent by external provider are not enough.|||||No Remediation Provided
50161|||||Failed to validate authorization url of external claims provider.|||||No Remediation Provided
50162|||||Claims transformation has timed out. This indicates too many or too complex transformations may have been configured for this application. A retry of the request may succeed. Otherwise, please contact your admin to fix the configuration.|||||No Remediation Provided
50163|||||Regular expression replacement for claims transformation has resulted in a claim which exceeds the size limit. Please contact your admin to fix the configuration.|||||No Remediation Provided
50164|||||The supplied access token was not issued for the purpose for which it is being used. Expected a token with purpose '{name}'.|||||No Remediation Provided
50165|||||The token encrypting algorithm '{algorithm}' requested by the application is not supported for this type of token. This indicates the application is misconfigured.|||||No Remediation Provided
50166|||||Request to External OIDC endpoint failed.|||||No Remediation Provided
50167|||||Invalid pop_jwk key.|||||No Remediation Provided
50168|||||The client is capable of utilizing the Windows 10 Accounts extension to perform SSO but no SSO token was found in the request or the token was expired. Request has been interrupted to attempt to pull an SSO token.|||||No Remediation Provided
50169|||||The realm '{realm}' is not a configured realm of the current service namespace.|||||No Remediation Provided
50170|||||The external controls mapping is missing.|||||No Remediation Provided
50172|||||External claims provider {provider} is not approved.|||||No Remediation Provided
50173|||||The provided grant has expired due to it being revoked, a fresh auth token is needed. The user might have changed or reset their password. The grant was issued on '{authTime}' and the TokensValidFrom date (before which tokens are not valid) for this user is '{validDate}'.|||||Expected part of the token lifecycle - either an admin or a user revoked the tokens for this user, causing subsequent token refreshes to fail and require re-authentication. Have the user sign-in again.
50176|||||Missing definition of external control: {controlId}.|||||No Remediation Provided
50177|||||User account '{user}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account.|||||The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account.
50178|||||User account '{user}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account.|||||The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account.
50179|||||Client_info is not supported for this user.|||||No Remediation Provided
50180|||||Integrated Windows Authentication is needed. Enable the tenant '{name}' for Seamless SSO.|||||No Remediation Provided
50181|||||Unable to validate the otp.|||||No Remediation Provided
50182|||||OTP is already expired.|||||No Remediation Provided
50183|||||Cannot lookup otp due to cache error.|||||No Remediation Provided
50184|||||No cache entry exist for the tenant/user.|||||No Remediation Provided
50185|||||Email OTP notification delivery failed.|||||No Remediation Provided
50186|||||Unpermitted realm.|||||No Remediation Provided
50187|||||Failed to perform device authentication.|||||No Remediation Provided
50189|||||The device code is not correctly formatted.|||||No Remediation Provided
50190|||||Region prefix to connection string mapping returned from settings is null.|||||No Remediation Provided
50192|||||Invalid request.|||||No Remediation Provided
50193|||||Internal use|||||No Remediation Provided
50194|||||Application '{appId}'({appName}) is not configured as a multi-tenant application. Usage of the /common endpoint is not supported for such applications created after '{time}'. Use a tenant-specific endpoint or configure the application to be multi-tenant.|||||No Remediation Provided
50196|||||The server terminated an operation because it encountered a client request loop. Please contact your app vendor.|||||Application error - the app is requesting too many tokens, indicating that it is not correctly coded. Ensure that the app is correctly caching refresh and access tokens to preserve bandwidth and reduce latency.
50197|||||Sorry, we could not find the user, please sign-in again.|||||No Remediation Provided
50199|||||For security reasons, user confirmation is required for this request. Please repeat the request allowing user interaction.|||||No Remediation Provided
50200|||||Unpermitted external trusted realm.|||||No Remediation Provided
50201|||||This message prompt interrupt will be shown to the user during login when additional information should be provided to user.|||||No Remediation Provided
50202|||||User is not registered in the organization and must explicitly consent to the sign-in.|||||No Remediation Provided
50203|||||User has not registered the authenticator app and must register or snooze this notification.|||||No Remediation Provided
50204|||||External user has not consented to the privacy statement.|||||No Remediation Provided
50205|||||External user has consented to the privacy statement.|||||No Remediation Provided
50206|||||The user or administrator has not consented connecting to the target-device: '{identifier}'. Send an interactive authorization request for this user and target-machine.|||||No Remediation Provided
51000|||||{feature} is/are disabled.|||||No Remediation Provided
51001|||||Domain Hint must be present with On-Premises Security Identifier/ On-Premises UPN.|||||No Remediation Provided
51002|||||Access denied due to it's in deny user access block list.|||||No Remediation Provided
51004|||||The user account {identifier} does not exist in the {tenant} directory. To sign into this application, the account must be added to the directory.|||||An application likely chose the wrong tenant to sign into, and the currently logged in user was prevented from doing so since they did not exist in your tenant. If this user should be able to log in, add them as a guest. See docs here: https://docs.microsoft.com/azure/active-directory/b2b/add-users-administrator
51005|||||Initiate gateway redirect.|||||This is not an error scenario, but is handled like one by Azure AD to handle certain authentication flows.  This is not an indication that anything went wrong.
51006|||||Integrated Windows Authentication is needed. The user signed in using session token that is missing wia claim. Prompt the user to sign in again.|||||No Remediation Provided
51007|||||The user account {identifier} does not exist in the {tenant} directory. The user will be added to the directory to sign into this application.|||||No Remediation Provided
51008|||||JIT user creation of {userType} is disabled.|||||No Remediation Provided
52001|||||LinkedIn AppFamily Service Principal is disabled.|||||No Remediation Provided
52002|||||Non-retryable error has occurred.|||||No Remediation Provided
52003|||||Non-retryable error has occurred.|||||No Remediation Provided
52004|||||The user or administrator has not consented to use the application with ID '{identifier}'{namePhrase}. Send an interactive authorization request for this user and resource.|||||No Remediation Provided
52050|||||Multiple users with same email have been found.|||||No Remediation Provided
52051|||||Timed-out while parsing extension property name.|||||No Remediation Provided
53000|||||Device is not in required device state: {state}. Conditional Access policy requires a compliant device, and the device is not compliant. The user must enroll their device with an approved MDM provider like Intune.|||||Your administrator might have configured a conditional access policy that allows access to your organization's resources only from compliant devices. To be compliant, your device must be either joined to your on-premises Active Directory or joined to your Azure Active Directory.            More details available at https://docs.microsoft.com/azure/active-directory/active-directory-conditional-access-device-remediation
53001|||||Device is not in required device state: {state}. Conditional Access policy requires a domain joined device, and the device is not domain joined.|||||Have the user use a domain joined device.
53002|||||Device is not in required device state: {state}. The app used is not an approved app for Conditional Access.|||||User needs to use one of the apps from the list of approved apps to use in order to get access.
53003|||||Access has been blocked by Conditional Access policies. The access policy does not allow token issuance.|||||If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal.
53004|||||Cannot configure multi-factor authentication methods due to suspicious activity.|||||No Remediation Provided
53005|||||Application needs to enforce Intune protection policies.|||||No Remediation Provided
53006|||||Authentication required from federated idP.|||||No Remediation Provided
53007|||||Authentication required from federated IDP.|||||User was blocked from authentication because they need to be sent to the federated identity provider (ADFS, for example) to perform multi-factor authentication. On interactive sign-in requests, they will be sent to the federation provider to perform MFA.
53008|||||Browser not supported.|||||No Remediation Provided
53009|||||Application needs to enforce Intune protection policies.|||||No Remediation Provided
53010|||||Cannot configure multi-factor authentication methods because the organization requires this information to be set from specific locations or devices.|||||No Remediation Provided
53011|||||User blocked due to risk on home tenant.|||||No Remediation Provided
54000|||||User is not allowed to access application {appName} due to Legal Age Group Requirement of application {audience}.|||||No Remediation Provided
54005|||||OAuth2 Authorization code was already redeemed, please retry with a new valid code or use an existing refresh token.|||||No Remediation Provided
54006|||||Unencrypted v2 access tokens are not supported for first party applications that support consumer accounts. The resource must add a certificate to the onboarding portal to encrypt tokens.|||||No Remediation Provided
54007|||||Method not supported for IDP OAuth2 Federation.|||||No Remediation Provided
54008|||||Multi-Factor authentication is required and the credential used ({credentialName}) is not supported as a First Factor. Contact your administrator for more information.|||||No Remediation Provided
60007|||||X509Certificate does not expose a private key or isn't an RSA private key.|||||No Remediation Provided
65001|||||The user or administrator has not consented to use the application with ID '{identifier}'{namePhrase}. Send an interactive authorization request for this user and resource.|||||No Remediation Provided
65002|||||Consent between first party application '{applicationId}' and first party resource '{resourceId}' must be configured via preauthorization - applications owned and operated by Microsoft must get approval from the API owner before requesting tokens for that API.|||||A developer in your tenant may be attempting to reuse an App ID owned by Microsoft. This error prevents them from impersonating a Microsoft application to call other APIs. They must move to another app ID they register in portal.azure.com.
65003|||||Consent for first party token-to-self must be configured via preauthorization. If preauthorization has already been configured, update the request to use a URI identifier for the resource instead of '{resourceId}' to work around this error.|||||The application developer needs to modify how the resource is specified in the authentication request to work around an implementation limitation.
65004|||||User declined to consent to access the app.|||||Have the user retry the sign-in and consent to the app.
65005|||||The application '{name}' asked for scope '{scope}' that doesn't exist.|||||No Remediation Provided
